way_id,node_id,lat,lon
5942459,48893851,32.5668070,-117.0769420
5941051,48893852,32.5667530,-117.0768510
5942454,48893852,32.5667530,-117.0768510
5941051,48893853,32.5666580,-117.0767590
5941051,48893854,32.5664980,-117.0766830
5942463,48893854,32.5664980,-117.0766830
5941051,48893855,32.5660510,-117.0764620
5941051,48893856,32.5660130,-117.0764690
5943672,48893856,32.5660130,-117.0764690
5941051,48893857,32.5659750,-117.0764770
5941051,48893858,32.5659260,-117.0765610
5941051,48893859,32.5659260,-117.0766070
5941051,48893860,32.5660961,-117.0771521
5942454,48893860,32.5660961,-117.0771521
5941054,48893906,32.5679437,-117.0768486
5941054,48893907,32.5678248,-117.0769554
5941054,48893908,32.5675020,-117.0771625
5941054,48893909,32.5660400,-117.0778500
5942223,48905339,32.5646523,-117.0720349
25354009,48905339,32.5646523,-117.0720349
425886812,48905339,32.5646523,-117.0720349
5942223,48905340,32.5651178,-117.0727229
5942223,48905341,32.5653416,-117.0730429
5942223,48905342,32.5655665,-117.0733377
5942223,48905344,32.5657550,-117.0735732
5942223,48905345,32.5659093,-117.0737713
5949896,48905345,32.5659093,-117.0737713
256170574,48905345,32.5659093,-117.0737713
5942454,48907734,32.5659480,-117.0772165
5942454,48907735,32.5658486,-117.0772608
530466510,48907735,32.5658486,-117.0772608
5942459,48907760,32.5668870,-117.0769120
5942459,48907761,32.5670170,-117.0768130
5942459,48907762,32.5671770,-117.0766070
5942459,48907763,32.5672800,-117.0762710
5942463,48907785,32.5666120,-117.0763700
5942463,48907786,32.5666500,-117.0763090
5942463,48907787,32.5667420,-117.0760570
5942637,48909955,32.5684901,-117.0595312
26429947,48909955,32.5684901,-117.0595312
149518600,48909955,32.5684901,-117.0595312
5942637,289577498,32.5686467,-117.0608985
5942637,289577499,32.5687841,-117.0612504
5942637,289577500,32.5689722,-117.0615766
5942637,289577501,32.5693628,-117.0620486
5942637,48909953,32.5694641,-117.0622375
5942637,48909951,32.5695364,-117.0624692
5942637,48909949,32.5695509,-117.0627095
5942637,48909948,32.5694930,-117.0630014
5942637,4341652688,32.5693907,-117.0633381
436289912,4341652688,32.5693907,-117.0633381
5943064,277146642,32.5684890,-117.0347402
5946513,277146642,32.5684890,-117.0347402
5943064,277146757,32.5685426,-117.0360858
5943064,48914381,32.5685781,-117.0364976
5943064,48914382,32.5687194,-117.0371179
5943064,48914383,32.5689079,-117.0375512
5943064,48914384,32.5691249,-117.0379289
5943064,48914385,32.5694287,-117.0383237
5943064,48914386,32.5697253,-117.0386070
5943064,48914387,32.5700435,-117.0388301
5943064,4344881031,32.5702582,-117.0389290
436605063,4344881031,32.5702582,-117.0389290
5943214,48916442,32.5658074,-117.0725561
25466393,48916442,32.5658074,-117.0725561
