ID,Fwy,Lat,Lng
1108606,I5-S,32.731171999999994,-117.17131299999998
1118702,I5-S,32.735387,-117.175064
1117724,I5-S,32.735815,-117.175452
1108610,I5-S,32.740771,-117.179757
1108609,I5-S,32.740771,-117.179757
1117871,I5-S,32.743125,-117.184141
1108616,I5-S,32.74683,-117.191991
1100348,I5-S,32.748777000000004,-117.195062
1108615,I5-S,32.74683,-117.191991
1117818,I5-S,32.749347,-117.195726
1126419,I5-S,32.768531,-117.206423
1126426,I5-S,32.768531,-117.206423
1114806,I5-S,32.779286,-117.2086
1100353,I5-S,32.791267,-117.207352
1108711,I5-S,32.786195,-117.207405
1108712,I5-S,32.786195,-117.207405
1108713,I5-S,32.789257,-117.207153
1108693,I5-S,32.797079,-117.209814
1108694,I5-S,32.797079,-117.209814
1119308,I5-S,32.807319,-117.21645
1119307,I5-S,32.807319,-117.21645
1118529,I5-S,32.815542,-117.222956
1120472,I5-S,32.833981,-117.233282
1108668,I5-S,32.833981,-117.233282
1127089,I5-S,32.836089,-117.234107
1108667,I5-S,32.833981,-117.233282
1119817,I5-S,32.842471999999994,-117.23661
1122596,I5-S,32.842501,-117.23661
1100363,I5-S,32.853244000000004,-117.23283
1108670,I5-S,32.847539000000005,-117.236023
1108669,I5-S,32.847539000000005,-117.236023
1108453,I5-S,32.86542,-117.229933
1108452,I5-S,32.86542,-117.229933
1108497,I5-S,32.869675,-117.229543
1100369,I5-S,32.874663,-117.229121
1108499,I5-S,32.872445,-117.229306
1108498,I5-S,32.872445,-117.229306
1127123,I5-S,32.908625,-117.22684
1122544,I5-S,32.911761,-117.228812
1120754,I5-S,32.91625,-117.232541
1118152,I5-S,32.91625,-117.232541
1120749,I5-S,32.91625,-117.232541
1122560,I5-S,32.918796,-117.235719
1122567,I5-S,32.918817,-117.235742
1122561,I5-S,32.919669,-117.236554
1122584,I5-S,32.925907,-117.239661
1122583,I5-S,32.925907,-117.239661
1113026,I5-S,32.932199,-117.241271
1100372,I5-S,32.935518,-117.241569
1108434,I5-S,32.930636,-117.241019
1108435,I5-S,32.930636,-117.241019
1119834,I5-S,32.943442,-117.242594
1120377,I5-S,32.943428000000004,-117.242592
1120374,I5-S,32.943471,-117.2426
1119528,I5-S,32.952468,-117.244298
1100377,I5-S,32.952969,-117.244393
1108432,I5-S,32.950361,-117.243898
1119284,I5-S,32.952353,-117.244277
1119842,I5-S,32.96573,-117.247857
