ID,Fwy,Lat,Lng
1100313,I5-N,32.788206,-117.20688999999999
1108548,I5-N,32.792508000000005,-117.207356
1118707,I5-N,32.797132,-117.20954099999999
1122814,I5-N,32.797157,-117.209556
1118521,I5-N,32.807939000000005,-117.21658899999998
1108666,I5-N,32.815089,-117.22215800000001
1108665,I5-N,32.815089,-117.22215800000001
1119637,I5-N,32.834969,-117.233294
1120370,I5-N,32.835512,-117.233527
1122594,I5-N,32.837787,-117.23452900000001
1118537,I5-N,32.848758000000004,-117.235323
1114296,I5-N,32.855148,-117.231251
1118544,I5-N,32.864509999999996,-117.22973600000002
1108719,I5-N,32.871703000000004,-117.229123
1108720,I5-N,32.871703000000004,-117.229123
1113468,I5-N,32.871703000000004,-117.229123
1122536,I5-N,32.911982,-117.228523
1118170,I5-N,32.918784,-117.235428
1120723,I5-N,32.918784,-117.235428
1120724,I5-N,32.918784,-117.235428
1122553,I5-N,32.918909,-117.235565
1122552,I5-N,32.918909,-117.235565
1122575,I5-N,32.925983,-117.23942
1122576,I5-N,32.925983,-117.23942
1119822,I5-N,32.931143,-117.240825
1108438,I5-N,32.935788,-117.24131399999999
1108437,I5-N,32.935788,-117.24131399999999
1113514,I5-N,32.935788,-117.24131399999999
1115277,I5-N,32.930695,-117.240733
1108436,I5-N,32.935788,-117.24131399999999
1119828,I5-N,32.943477,-117.242328
1120104,I5-N,32.943506,-117.242333
1120107,I5-N,32.943535,-117.24233899999999
1108507,I5-N,32.952314,-117.243976
1100323,I5-N,32.947765999999994,-117.243147
1108508,I5-N,32.952314,-117.243976
1119679,I5-N,32.962322,-117.24630900000001
1120385,I5-N,32.962336,-117.24631399999998
1119850,I5-N,32.969013000000004,-117.24883100000001
1120394,I5-N,32.969027000000004,-117.24883600000001
1100326,I5-N,32.97674,-117.251751
1108510,I5-N,32.979329,-117.25270900000001
1122734,I5-N,32.979357,-117.252719
1108509,I5-N,32.979329,-117.25270900000001
1108511,I5-N,32.982996,-117.25410500000001
1126614,I5-N,32.987715,-117.255119
1100330,I5-N,32.993716,-117.256045
1108512,I5-N,32.997569,-117.25673
1108513,I5-N,32.997569,-117.25673
1120694,I5-N,32.995523,-117.25635600000001
1120732,I5-N,32.994634999999995,-117.25618200000001
1119645,I5-N,33.00551,-117.25907
1120415,I5-N,33.005523,-117.259079
1127151,I5-N,33.010571,-117.26477
1119659,I5-N,33.017612,-117.27184
1122510,I5-N,33.027309,-117.27524199999999
1122016,I5-N,33.027309,-117.27524199999999
1122507,I5-N,33.027309,-117.27524199999999
1122001,I5-N,33.037208,-117.281927
1125309,I5-N,33.037208,-117.281927
1125314,I5-N,33.037208,-117.281927
1122513,I5-N,33.048097999999996,-117.286976
1122068,I5-N,33.048097999999996,-117.286976
1122512,I5-N,33.048097999999996,-117.286976
1119879,I5-N,33.055577,-117.289125
1108651,I5-N,33.066891,-117.292681
1113518,I5-N,33.066891,-117.292681
1108652,I5-N,33.066891,-117.292681
1119890,I5-N,33.073419,-117.294587
1113806,I5-N,33.086077,-117.299048
1108663,I5-N,33.086077,-117.299048
1108664,I5-N,33.086077,-117.299048
1119903,I5-N,33.09232,-117.303146
1108683,I5-N,33.105403,-117.31160700000001
1108682,I5-N,33.105403,-117.31160700000001
1113943,I5-N,33.105403,-117.31160700000001
1119921,I5-N,33.115949,-117.31811
1108688,I5-N,33.123940000000005,-117.32296000000001
1100340,I5-N,33.11957,-117.32030900000001
1108687,I5-N,33.123940000000005,-117.32296000000001
1108659,I5-N,33.136599,-117.330302
1113800,I5-N,33.136599,-117.330302
1108660,I5-N,33.136599,-117.330302
1119928,I5-N,33.142807,-117.33320900000001
1119934,I5-N,33.155404,-117.338099
1119941,I5-N,33.167741,-117.34438700000001
1126594,I5-N,33.167741,-117.34438700000001
1119947,I5-N,33.173355,-117.348324
1120112,I5-N,33.17338,-117.348343
1115289,I5-N,33.179859,-117.353416
1115304,I5-N,33.191415,-117.363042
1115306,I5-N,33.200815999999996,-117.373244
1115314,I5-N,33.203683000000005,-117.381192
1115323,I5-N,33.268349,-117.436582
1119960,I5-N,33.224874,-117.393754
1119972,I5-N,33.236554,-117.40592
1119984,I5-N,33.246111,-117.41736399999999
1119990,I5-N,33.25805,-117.426272
1121692,I5-N,33.281566999999995,-117.449193
